,lab,local_path,wav_name,wav_path
193,Lab5,data/Lab5/194.wav,194.wav,https://people.bu.edu/timothyg/song_website/WAV/194.wav
194,Lab5,data/Lab5/195.wav,195.wav,https://people.bu.edu/timothyg/song_website/WAV/195.wav
195,Lab5,data/Lab5/196.wav,196.wav,https://people.bu.edu/timothyg/song_website/WAV/196.wav
196,Lab5,data/Lab5/197.wav,197.wav,https://people.bu.edu/timothyg/song_website/WAV/197.wav
197,Lab5,data/Lab5/198.wav,198.wav,https://people.bu.edu/timothyg/song_website/WAV/198.wav
198,Lab5,data/Lab5/199.wav,199.wav,https://people.bu.edu/timothyg/song_website/WAV/199.wav
199,Lab5,data/Lab5/200.wav,200.wav,https://people.bu.edu/timothyg/song_website/WAV/200.wav
200,Lab5,data/Lab5/201.wav,201.wav,https://people.bu.edu/timothyg/song_website/WAV/201.wav
201,Lab5,data/Lab5/202.wav,202.wav,https://people.bu.edu/timothyg/song_website/WAV/202.wav
202,Lab5,data/Lab5/203.wav,203.wav,https://people.bu.edu/timothyg/song_website/WAV/203.wav
203,Lab5,data/Lab5/204.wav,204.wav,https://people.bu.edu/timothyg/song_website/WAV/204.wav
204,Lab5,data/Lab5/205.wav,205.wav,https://people.bu.edu/timothyg/song_website/WAV/205.wav
205,Lab5,data/Lab5/206.wav,206.wav,https://people.bu.edu/timothyg/song_website/WAV/206.wav
206,Lab5,data/Lab5/207.wav,207.wav,https://people.bu.edu/timothyg/song_website/WAV/207.wav
207,Lab5,data/Lab5/208.wav,208.wav,https://people.bu.edu/timothyg/song_website/WAV/208.wav
208,Lab5,data/Lab5/209.wav,209.wav,https://people.bu.edu/timothyg/song_website/WAV/209.wav
209,Lab5,data/Lab5/210.wav,210.wav,https://people.bu.edu/timothyg/song_website/WAV/210.wav
210,Lab5,data/Lab5/211.wav,211.wav,https://people.bu.edu/timothyg/song_website/WAV/211.wav
211,Lab5,data/Lab5/212.wav,212.wav,https://people.bu.edu/timothyg/song_website/WAV/212.wav
212,Lab5,data/Lab5/213.wav,213.wav,https://people.bu.edu/timothyg/song_website/WAV/213.wav
213,Lab5,data/Lab5/214.wav,214.wav,https://people.bu.edu/timothyg/song_website/WAV/214.wav
214,Lab5,data/Lab5/215.wav,215.wav,https://people.bu.edu/timothyg/song_website/WAV/215.wav
215,Lab5,data/Lab5/216.wav,216.wav,https://people.bu.edu/timothyg/song_website/WAV/216.wav
216,Lab5,data/Lab5/217.wav,217.wav,https://people.bu.edu/timothyg/song_website/WAV/217.wav
217,Lab5,data/Lab5/218.wav,218.wav,https://people.bu.edu/timothyg/song_website/WAV/218.wav
218,Lab5,data/Lab5/219.wav,219.wav,https://people.bu.edu/timothyg/song_website/WAV/219.wav
219,Lab5,data/Lab5/220.wav,220.wav,https://people.bu.edu/timothyg/song_website/WAV/220.wav
220,Lab5,data/Lab5/221.wav,221.wav,https://people.bu.edu/timothyg/song_website/WAV/221.wav
221,Lab5,data/Lab5/222.wav,222.wav,https://people.bu.edu/timothyg/song_website/WAV/222.wav
222,Lab5,data/Lab5/223.wav,223.wav,https://people.bu.edu/timothyg/song_website/WAV/223.wav
223,Lab5,data/Lab5/224.wav,224.wav,https://people.bu.edu/timothyg/song_website/WAV/224.wav
224,Lab5,data/Lab5/225.wav,225.wav,https://people.bu.edu/timothyg/song_website/WAV/225.wav
225,Lab5,data/Lab5/226.wav,226.wav,https://people.bu.edu/timothyg/song_website/WAV/226.wav
226,Lab5,data/Lab5/227.wav,227.wav,https://people.bu.edu/timothyg/song_website/WAV/227.wav
